,hospital,AZ,pfizer,moderna,hospital_distance,address,time,date
0,늘푸른소아과의원,5,0,0,1.9km,경기 군포시 군포로 494,9:10:21,2021-08-12
1,홍기영내과의원,10,0,0,510m,경기 군포시,9:14:57,2021-08-12
2,연세삼성의원,5,0,0,3.6km,경기 안양시 동안구,9:15:13,2021-08-12
3,참이비인후과의원,5,0,0,1.9km,경기 군포시,9:20:51,2021-08-12
4,중앙신경외과의원,11,0,0,900m,경기 군포시,9:24:17,2021-08-12
5,중앙신경외과의원,10,0,0,800m,경기 군포시,10:38:09,2021-08-12
6,연세우리소아과의원,4,0,0,3.4km,경기 안양시 동안구 경수대로 446 이편한세상아파트 22동 C상가,10:38:09,2021-08-12
7,해맑은소아청소년과의원,2,0,0,3.3km,경기 안양시 만안구,10:38:09,2021-08-12
8,중앙신경외과의원,9,0,0,800m,경기 군포시,10:47:29,2021-08-12
9,홍기영내과의원,9,0,0,1.0km,경기 군포시,11:03:32,2021-08-12
10,전소아과의원,3,2,0,3.0km,경기 군포시 용호2로 33 한우리교육문화센타,11:05:49,2021-08-12
11,전소아과의원,3,0,0,3.0km,경기 군포시 용호2로 33 한우리교육문화센타,11:05:54,2021-08-12
12,수이비인후과의원,5,0,0,1.3km,경기 군포시 번영로 502 역사상가,11:10:22,2021-08-12
13,수이비인후과의원,4,0,0,1.3km,경기 군포시 번영로 502 역사상가,11:10:46,2021-08-12
14,하나영상의학과,4,0,0,3.3km,경기 안양시 동안구,12:00:58,2021-08-12
15,김영우마취통증의학과의원,3,0,0,2.3km,경기 안양시 만안구 안양로 97,12:00:58,2021-08-12
16,연세우리소아과의원,3,0,0,3.4km,경기 안양시 동안구 경수대로 446 이편한세상아파트 22동 C상가,12:00:58,2021-08-12
17,전소아과의원,2,0,0,3.0km,경기 군포시 용호2로 33 한우리교육문화센타,12:00:58,2021-08-12
18,세인소아청소년과의원,1,0,0,540m,경기 군포시,12:00:58,2021-08-12
19,사랑이가득한소아과의원,1,0,0,1.5km,경기 군포시,12:00:58,2021-08-12
20,서울굿모닝내과의원,0,3,0,1.9km,경기 군포시,12:04:29,2021-08-12
21,서울굿모닝내과의원,0,1,0,1.9km,경기 군포시,12:04:34,2021-08-12
22,백내과의원,0,2,0,3.4km,경기 안양시 동안구,12:09:06,2021-08-12
23,연세선내과의원,0,2,0,1.4km,경기 군포시,12:14:17,2021-08-12
24,좋은가정의학과의원,7,0,0,440m,경기 군포시,12:27:29,2021-08-12
25,오내과의원,2,0,0,1.3km,경기 군포시 번영로 502 역사상가,12:29:49,2021-08-12
26,수이비인후과의원,3,0,0,1.3km,경기 군포시 번영로 502 역사상가,12:30:12,2021-08-12
27,산본가정의학과의원,10,0,0,1.2km,경기 군포시 고산로677번길 40 2층,13:28:53,2021-08-12
28,참이비인후과의원,4,0,0,1.5km,경기 군포시,13:28:53,2021-08-12
29,산본제일의원,4,0,0,1.5km,경기 군포시,13:28:53,2021-08-12
30,늘푸른소아과의원,4,0,0,2.6km,경기 군포시 군포로 494,13:28:53,2021-08-12
31,김영우마취통증의학과의원,2,0,0,2.3km,경기 안양시 만안구 안양로 97,13:28:53,2021-08-12
32,연세우리소아과의원,2,0,0,3.4km,경기 안양시 동안구 경수대로 446 이편한세상아파트 22동 C상가,13:28:53,2021-08-12
33,남천병원,10,0,0,360m,경기 군포시,13:45:54,2021-08-12
34,연세속시원의원,0,3,0,1.3km,경기 군포시 번영로 502 역사상가,14:00:20,2021-08-12
35,더샵조은의원,0,3,0,3.3km,경기 안양시 동안구,14:00:45,2021-08-12
36,더샵조은의원,7,0,0,3.3km,경기 안양시 동안구,14:02:01,2021-08-12
37,중앙신경외과의원,8,0,0,800m,경기 군포시,14:03:42,2021-08-12
38,좋은숨김휘정내과의원,3,0,0,1.1km,경기 군포시,14:03:59,2021-08-12
39,남천병원,9,0,0,360m,경기 군포시,14:04:17,2021-08-12
40,서울굿모닝내과의원,4,0,0,1.9km,경기 군포시,14:20:19,2021-08-12
41,좋은숨김휘정내과의원,2,0,0,1.1km,경기 군포시,14:20:19,2021-08-12
42,군포열린의원,2,4,0,2.5km,경기 군포시,14:21:43,2021-08-12
43,군포열린의원,2,0,0,2.5km,경기 군포시,14:21:48,2021-08-12
44,삼성하나의원,6,0,0,3.1km,경기 안양시 만안구,14:21:57,2021-08-12
45,군포열린의원,1,0,0,2.5km,경기 군포시,14:22:39,2021-08-12
46,세린이비인후과의원,0,3,0,660m,경기 군포시,14:24:09,2021-08-12
47,연세코웰이비인후과의원,0,3,0,1.0km,경기 군포시,14:24:56,2021-08-12
48,군포성모병원,2,0,0,2.7km,경기 군포시,14:26:53,2021-08-12
49,새론정형외과의원,4,4,0,2.7km,경기 군포시,14:37:45,2021-08-12
50,새론정형외과의원,4,0,0,2.7km,경기 군포시,14:37:50,2021-08-12
51,삼성조은내과의원,0,1,0,1.4km,경기 군포시,14:40:19,2021-08-12
52,참조은가정의원,0,1,0,3.4km,경기 군포시,14:40:55,2021-08-12
53,한사랑소아과의원,0,4,0,1.3km,경기 군포시 번영로 502 산본역사상가,14:41:23,2021-08-12
54,연세선내과의원,0,1,0,1.4km,경기 군포시,14:49:51,2021-08-12
55,현대중앙의원,0,4,0,800m,경기 군포시,14:52:25,2021-08-12
56,드림의원,9,0,0,3.2km,경기 안양시 만안구,15:24:04,2021-08-12
57,홍기영내과의원,8,0,0,1.0km,경기 군포시,15:24:04,2021-08-12
58,맑은샘이비인후과의원,7,0,0,2.9km,경기 군포시,15:24:04,2021-08-12
59,장이비인후과의원,4,0,0,2.5km,경기 군포시,15:24:04,2021-08-12
60,오내과의원,3,0,0,3.3km,경기 안양시 동안구 흥안대로 127,15:24:04,2021-08-12
61,국제나은병원,2,0,0,3.1km,경기 안양시 만안구,15:24:04,2021-08-12
62,더건강한내과의원,1,0,0,1.1km,경기 군포시,15:24:04,2021-08-12
63,원광대학교의과대학산본병원,1,0,0,1.2km,경기 군포시,15:24:04,2021-08-12
64,의료법인 토마스의료재단 안양윌스기념병원,1,0,0,3.3km,경기 안양시 동안구,15:24:04,2021-08-12
65,남연호내과의원,0,3,0,1.2km,경기 군포시,15:26:23,2021-08-12
66,고려가정의학과의원,0,2,0,2.4km,경기 군포시,15:27:29,2021-08-12
67,준내과의원,0,1,0,2.9km,경기 군포시,15:34:24,2021-08-12
68,산본연세내과의원,1,0,0,1.0km,경기 군포시,15:39:03,2021-08-12
69,참이비인후과의원,3,0,0,1.5km,경기 군포시,15:39:14,2021-08-12
70,박정영내과의원,0,4,0,3.0km,경기 안양시 동안구,15:41:34,2021-08-12
71,현대중앙의원,4,0,0,800m,경기 군포시,15:41:38,2021-08-12
72,더샵조은의원,6,0,0,3.3km,경기 안양시 동안구,15:44:49,2021-08-12
73,국제나은병원,1,0,0,3.1km,경기 안양시 만안구,15:48:45,2021-08-12
74,속조아내과의원,5,0,0,3.3km,경기 안양시 동안구,15:50:35,2021-08-12
75,박정영내과의원,10,0,0,3.0km,경기 안양시 동안구,15:53:30,2021-08-12
76,속조아내과의원,4,0,0,3.3km,경기 안양시 동안구,15:53:30,2021-08-12
77,현대중앙의원,3,0,0,800m,경기 군포시,15:56:26,2021-08-12
78,장태종내과의원,0,2,0,770m,경기 군포시,15:58:00,2021-08-12
79,문내과의원,3,0,0,2.5km,경기 군포시,16:14:28,2021-08-12
80,박정영내과의원,9,0,0,3.0km,경기 안양시 동안구,16:23:12,2021-08-12
81,천내과의원,5,2,0,2.6km,경기 군포시 군포로 494,16:26:27,2021-08-12
82,천내과의원,5,0,0,2.6km,경기 군포시 군포로 494,16:26:32,2021-08-12
